day_key,start_time,hour,day,week,month,year,weekdate
2018110720,2018-11-07 20:00:00,20,7,45,11,2018,2
2018110721,2018-11-07 21:00:00,21,7,45,11,2018,2
2018110722,2018-11-07 22:00:00,22,7,45,11,2018,2
2018110723,2018-11-07 23:00:00,23,7,45,11,2018,2
2018110800,2018-11-08 00:00:00,0,8,45,11,2018,3
2018110801,2018-11-08 01:00:00,1,8,45,11,2018,3
2018110802,2018-11-08 02:00:00,2,8,45,11,2018,3
2018110803,2018-11-08 03:00:00,3,8,45,11,2018,3
2018110804,2018-11-08 04:00:00,4,8,45,11,2018,3
2018110805,2018-11-08 05:00:00,5,8,45,11,2018,3
2018110806,2018-11-08 06:00:00,6,8,45,11,2018,3
2018110807,2018-11-08 07:00:00,7,8,45,11,2018,3
2018110808,2018-11-08 08:00:00,8,8,45,11,2018,3
2018110809,2018-11-08 09:00:00,9,8,45,11,2018,3
2018110810,2018-11-08 10:00:00,10,8,45,11,2018,3
2018110811,2018-11-08 11:00:00,11,8,45,11,2018,3
2018110812,2018-11-08 12:00:00,12,8,45,11,2018,3
2018110813,2018-11-08 13:00:00,13,8,45,11,2018,3
2018110814,2018-11-08 14:00:00,14,8,45,11,2018,3
2018110815,2018-11-08 15:00:00,15,8,45,11,2018,3
2018110816,2018-11-08 16:00:00,16,8,45,11,2018,3
2018110817,2018-11-08 17:00:00,17,8,45,11,2018,3
2018110818,2018-11-08 18:00:00,18,8,45,11,2018,3
2018110819,2018-11-08 19:00:00,19,8,45,11,2018,3
2018110820,2018-11-08 20:00:00,20,8,45,11,2018,3
2018110821,2018-11-08 21:00:00,21,8,45,11,2018,3
2018110822,2018-11-08 22:00:00,22,8,45,11,2018,3
2018110823,2018-11-08 23:00:00,23,8,45,11,2018,3
2018110900,2018-11-09 00:00:00,0,9,45,11,2018,4
2018110901,2018-11-09 01:00:00,1,9,45,11,2018,4
2018110902,2018-11-09 02:00:00,2,9,45,11,2018,4
2018110903,2018-11-09 03:00:00,3,9,45,11,2018,4
2018110904,2018-11-09 04:00:00,4,9,45,11,2018,4
2018110905,2018-11-09 05:00:00,5,9,45,11,2018,4
2018110906,2018-11-09 06:00:00,6,9,45,11,2018,4
2018110907,2018-11-09 07:00:00,7,9,45,11,2018,4
2018110908,2018-11-09 08:00:00,8,9,45,11,2018,4
2018110909,2018-11-09 09:00:00,9,9,45,11,2018,4
2018110910,2018-11-09 10:00:00,10,9,45,11,2018,4
2018110911,2018-11-09 11:00:00,11,9,45,11,2018,4
2018110912,2018-11-09 12:00:00,12,9,45,11,2018,4
2018110913,2018-11-09 13:00:00,13,9,45,11,2018,4
2018110914,2018-11-09 14:00:00,14,9,45,11,2018,4
2018110915,2018-11-09 15:00:00,15,9,45,11,2018,4
2018110916,2018-11-09 16:00:00,16,9,45,11,2018,4
2018110917,2018-11-09 17:00:00,17,9,45,11,2018,4
2018110918,2018-11-09 18:00:00,18,9,45,11,2018,4
2018110919,2018-11-09 19:00:00,19,9,45,11,2018,4
